Obj,Risk,Return,ActualReturn,NumAssets
0.00169976656997626,0.000301905723478973,0.00226835568252832,0.0129656856960587,4
0.00169474703339145,0.000300445101157355,0.00226559272559043,0.0128627175085751,4
0.00168975152251915,0.00029902241611742,0.00226287782007754,0.0127615400721781,4
0.00168477941600472,0.000297636365832244,0.00226020972328039,0.0126621070743398,4
0.00167983011373641,0.00029628570319953,0.0022575872349755,0.0125643737858662,4
0.00167490303594527,0.000294969233735418,0.00225500919562492,0.0124682969938074,4
0.00166999762235035,0.000293685812932665,0.0022524744846668,0.0123738349377496,4
0.00166511333134675,0.000292434343772283,0.00224998201889131,0.0122809472492927,4
0.00165347411513062,0.000289554975629684,0.00224416626541517,0.0120642093095601,4
0.00164194674032749,0.000286840122325743,0.00223857419476503,0.0118558074444326,4
0.00163052487629135,0.000284277485546001,0.00223319314564887,0.0116552698006306,4
0.00161920266131291,0.000281855895062594,0.00222801139464811,0.0114621594769695,4
0.00160797465998903,0.000279565186803384,0.00222301807095648,0.011276071346896,4
0.00159683582515965,0.000277396096024187,0.00221820308025383,0.011096629221468,4
0.00158578146385136,0.000275340163483339,0.00221355703659338,0.0109234833109673,4
0.00157480720674412,0.000273389652840901,0.00220907120133501,0.0107563079491046,4
0.00156390898074295,0.000271537477773661,0.00220473742828879,0.0105947995486609,4
0.00155308298429255,0.000269777137521483,0.00220054811434411,0.0104386747615654,4
0.00154232566511994,0.000268102659768468,0.002196496154955,0.0102876688199484,4
0.00153170310983115,0.000262775037010168,0.00218338520161636,0.00992581544640645,5
0.00152130279865181,0.000257173789182883,0.00216938074739268,0.00955778544218818,6
0.00151112785822224,0.000251616986646163,0.00215526734403642,0.00920139298668592,6
0.00150117004707508,0.000246314673911497,0.00214158819924497,0.00885596645289142,6
0.00149141949569748,0.000241251544808779,0.00212832357399266,0.00852100738981798,6
0.00148186860282695,0.000236325858255295,0.00211522190295114,0.00823602564414373,7
0.00147251055307213,0.00023161155028537,0.00210249396984834,0.00796141693584377,7
0.0014633369661159,0.000227100723270584,0.00209013496234272,0.00769476790024817,7
0.00145433993640976,0.000222781833188393,0.00207812906933726,0.00743573740852672,7
0.0014455120037882,0.000218644143208722,0.00206646137050097,0.00718400355037489,7
0.00143684701272115,0.0002146133701949,0.00205493351888247,0.00694235112046872,8
0.00142834090870835,0.000210718690306786,0.00204363948440416,0.00670869417748912,8
0.00141998742678308,0.000206980833553333,0.00203265069410095,0.00648135228702249,8
0.00141178046206186,0.000203391492047985,0.00202195493820582,0.0062600728469683,8
0.00140371423097084,0.000199942900855344,0.00201154064957109,0.00604461655007343,8
0.00139578325038157,0.000196627795960483,0.00200139686193986,0.00583475652063038,8
0.00138798231835167,0.000193439375985802,0.00199151317142738,0.0056302775175833,8
0.00138030649632826,0.000190371267278356,0.00198187970092787,0.00543097519815766,8
0.0013727510926861,0.000187417492032734,0.00197248706719085,0.00523665543671767,8
0.00136531164748513,0.000184572439151572,0.00196332635033622,0.00504713369407866,8
0.00135798391834336,0.000181830837578244,0.0019543890656,0.00486223443296744,8
0.00135076386733095,0.000179187731864921,0.00194566713712249,0.00468179057573841,8
0.00134364764880041,0.000176638459764379,0.00193715287360873,0.00450564300082436,8
0.00133663159807592,0.000174178631656215,0.00192883894570705,0.00433364007473182,8
0.00132971222093168,0.000171804111637849,0.00192071836496588,0.00416563721668794,8
0.00132288618379596,0.0001695110001281,0.00191278446424175,0.00400149649331174,8
0.00131615030462301,0.000167295617846634,0.00190503087944316,0.00384108624092136,8
0.00130950154438038,0.000165154491046303,0.00189745153250522,0.0036842807133038,8
0.00130293699910373,0.000163084337887639,0.00189004061549923,0.00353095975296662,8
0.0012964538924755,0.000161082055855653,0.00188279257579008,0.00338100848406543,8
0.00129004956888758,0.000159144710128797,0.00187570210216156,0.00323431702535775,8
0.00128372148695159,0.000157269522818626,0.00186876411183688,0.00309078022167603,8
0.0012774672134233,0.000155453863006467,0.00186197373832761,0.00295029739254074,8
0.0012712844175109,0.000153695237510323,0.00185532632005013,0.00281277209665039,8
0.00126517086553889,0.000151991282321492,0.00184881738965342,0.00267811191109109,8
0.00125912441594211,0.000150339754655942,0.00184244266400716,0.00254622822420313,8
0.0012531430145662,0.000148738525570526,0.00183619803480266,0.00241703604112921,8
0.00124722469025297,0.000147185573098621,0.00183007955972351,0.00229045380114767,8
0.00124136755069052,0.000145678975863853,0.00182408345414593,0.00216640320596578,8
0.00123413270587632,0.000143694640730675,0.00181609600083556,0.00202301415309342,9
0.00122699705951937,0.000141743185664562,0.00180814412074407,0.00188511107763772,9
0.00121995721894664,0.000139861839343231,0.00180038385222105,0.00175053096785566,9
0.00121300976252301,0.000138047283207904,0.0017928083519962,0.00161915514640174,9
0.00120615142963143,0.000136296392753892,0.00178541109883547,0.00149087052074673,9
0.00119937911131148,0.000134606224071284,0.001778185874818,0.00136556925847906,9
0.00119268984154346,0.000132974001462283,0.00177112674790439,0.00124314848499915,9
0.00118608078912673,0.00013139710603787,0.00176422805569336,0.00112351000182559,9
0.00117954925010563,0.000129873065206282,0.00175748439027359,0.00100656002389188,9
0.00117309264070031,0.000128399542974457,0.00175089058408536,0.000892208934356715,9
0.00116670849070365,0.000126974330991389,0.00174444169671446,0.000780371055580557,9
0.00116039443730884,0.000125595340269226,0.00173813300254728,0.000670964435038671,9
0.00115414821933519,0.000124260593524132,0.0017319599792224,0.000563910645046056,9
0.00114796767182244,0.000122968218084445,0.00172591829681933,0.000459134595266058,9
0.00114185072096656,0.00012171643931862,0.00172000380773001,0.000356564357060385,9
0.00113579537937204,0.000120503574539863,0.00171421253716338,0.00025613099881732,9
0.00112979974159778,0.000119328027348354,0.0017085406742373,0.00015776843146587,9
0.00112386197997584,0.000118188282375509,0.00170298456361583,6.14132634481164e-05,9
0.0011179803406834,0.000117082900397977,0.00169754069765339,-3.299533551877e-05,9
0.00111215314005059,0.00011601051379192,0.00169220570901019,-0.000125515762506316,9
0.00110637876108751,0.000114969822300782,0.00168697636370646,-0.000216204101830746,9
0.00110065565021565,0.000113959589092061,0.00168184955458516,-0.00030511423842332,9
0.00109498231418962,0.000112978637080759,0.00167682229515553,-0.000392297964596631,9
0.00108935731719657,0.000112025845499094,0.00167189171379186,-0.000477805080651211,9
0.00108377927812127,0.000111100146693793,0.00166705504826368,-0.000561683489733332,9
